Organization Name,Organization Name URL,Industries,Description,Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Headquarters Location,Full Description
Legion,https://www.crunchbase.com/organization/legion,"Artificial Intelligence, Human Resources, Machine Learning, SaaS",Legion is a Workforce Management and employee engagement platform.,11-50,10500000,USD,10500000,2017-09-27,"Redwood City, California, United States","Legion has built an AI-powered Workforce Management platform that enables tight labor spend management and rapid time to value while ensuring great experiences for employees and customers alike. Using the latest in ML and AI, the platform automatically forecasts demand, computes precise labor needs, and staffs the right employees at the right times based on employee preferences and skills. Legion’s cloud and mobile-native solution brings cutting edge machine learning, artificial intelligence, and beautiful interfaces together to deliver over 10x return on investment.  Legion was founded by Sanish Mondkar, the former Chief Product Officer of SAP, and serves many innovative customers including Racetrac Petroleum, Panda Express, Cinemark, Barry's Bootcamp, Soulcycle and Philz Coffee. Legion has been recognized as a Gartner Cool Vendor, and was recently included on JMP Securities’ Hot 100 List of the Best Privately Held Software Companies. Legion is backed by investors including Norwest, First Round Capital, XYZ Ventures, and the Webb Investment Network."
Healthy.io,https://www.crunchbase.com/organization/healthy-io,"Health Care, Health Diagnostics, Medical, Mobile Apps, Software",Healthy.io converts smartphone cameras into a clinical grade medical device.,51-100,90000000,USD,90000000,2019-09-11,"Tel Aviv-yafo, Tel Aviv, Israel","Healthy.io is a pioneer in turning the smartphone camera into a clinical grade medical device. Founded in 2013 by founder and CEO, Yonatan Adiri, it took us only three years to reach from idea to global revenues through successful clinical trials. Our first product, Dip.io, is the world’s first clinically approved home urinalysis kit. The product effectively turns the smartphone into a clinical grade urinalysis device, enabling the layperson to conduct clinically required urine testing with a simple smartphone scan. Dip.io was followed by ACR - a second urinalysis test that lets people with diabetes or high blood pressure reliably test themselves at home for kidney disease. The product achieved 99% usability success and is being rolled out for large population screening in Europe, using digital technology to change the dynamics of chronic kidney disease prevention. Our second product family - Chronic wound monitoring - is an assessment tool to analyze chronic wounds over time and facilitate better care coordination."
BrightInsight,https://www.crunchbase.com/organization/brightinsight,"Biopharma, Health Care, Medical, Software",BrightInsight offers a global regulated digital health platform for biopharma and medtech.,51-100,65000000,USD,65000000,2020-06-23,"San Jose, California, United States","BrightInsight provides a digital health platform for bio-pharma and med-tech. Its IoT platform is built under a quality management system to support and optimize regulated drugs, devices, and software through integrated data and actionable insights to enable customers to drive increased patient adherence and engagement.  BrightInsight was founded in 2017 and is headquartered in San Jose, California."
Nextbillion.ai,https://www.crunchbase.com/organization/nextbillion-ai,"Artificial Intelligence, Information Technology, Mapping Services, Software","Nextbillion.ai offers a wide range of AI-powered hyperlocal solutions, from business mapping to data management.",51-100,7001000,USD,7001000,2020-06-25,"Singapore, Central Region, Singapore","Nextbillion.ai aims to deliver a wide range of AI-powered hyperlocal solutions starting with the area of mapping. Nb.ai is working on building the geospatial infrastructure needed for enabling location based experiences for the next billion users. The complexities in markets like India, Indonesia and Nigeria are far greater than the traditional developed countries and we are building the future of location technology. Underdeveloped infrastructure, the rise of mega cities, complex addresses and an ever changing road network make things even more challenging and we are trying to solve these extremely complex problems using a combination of data, AI, platform and people."
Redfin,https://www.crunchbase.com/organization/redfin,"Internet, Property Management, Real Estate",Redfin is a provider of real estate search and brokerage services through a combination of real estate web platforms accessible to agents.,1001-5000,319620000,USD,319620000,2020-03-30,"Seattle, Washington, United States","Redfin is a provider of real estate search and brokerage services through a combination of real estate web platforms accessible to agents. It represents people buying and selling homes and features all of the broker-listed homes for sale, as well as for-sale-by-owner properties. Its real estate agents work with the company's team of engineers to create tools that make the buying and selling process easier. On their site, Redfin combines MLS listing information with historical data into a single map. Customers can search for homes by neighborhood, city, zip code, MLS number or school zone, and can refine results using detailed parameters like price and number of beds or baths.  The company was founded in 2004 by David Eraker, Michael Dougherty, and Dave Selinger, and is based in Seattle, Washington."
Dashlane,https://www.crunchbase.com/organization/dashlane,"Cloud Computing, FinTech, Identity Management, Payments, Privacy, Security, Software",Dashlane  is a mobile and desktop app that gives a shortcut for online tasks.,251-500,210900000,USD,210900000,2019-05-30,"New York, New York, United States","Dashlane is a password manager and digital wallet, designed to make identity and payment simple and secure. Dashlane's password manager helps you simplify and secure your digital identity—all your personal information that lives online. Available across all platforms and devices, the intuitive Dashlane app automatically fills and stores passwords, personal data, and payment details with its patented security architecture. Available in 11 languages and trusted by 10+ million people in 180 countries (and growing), it's the complete, global solution for living safely and seamlessly online—at home, at work, and everywhere in between. With offices in New York City, Paris, and Lisbon, Dashlane has raised over $70 million in venture funding to create a safe and effortless solution for all citizens of the digital world. Learn more at dashlane.com."
UNUM Therapeutics,https://www.crunchbase.com/organization/unum-therapeutics,"Biotechnology, Health Care, Therapeutics",UNUM Therapeutics is a biopharmaceutical company that develops therapies for solid cancer tumors.,101-250,282700000,USD,282700000,2020-07-06,"Cambridge, Massachusetts, United States","Unum Therapeutics uses proprietary T-cell engineering technology in combination with tumor-targeting antibodies to activate the body’s own immune system to fight cancer. Unum’s lead program, based on its Antibody-Coupled T-cell Receptor (ACTR) technology, is expected to enter Phase I clinical testing in the coming months to assess safety and efficacy. Unum is seeking partners interested in using the ACTR technology to arm proprietary tumor-specific antibodies with a T-cell to improve their therapeutic potential. The company is headquartered in Cambridge, MA."
Avaloq,https://www.crunchbase.com/organization/avaloq-2,"Banking, Financial Services, FinTech, Software",Avaloq group is an international fintech company that digitizes the automation of financial services industry.,1001-5000,350000000,CHF,353030769,2017-06-28,"Zürich, Zurich, Switzerland","Avaloq group is an international fintech company that digitizes the automation of financial services industry. With its core and digital banking software, the Avaloq Banking Suite, and its international network of BPO centres, Avaloq brings trustworthy and efficient banking to the world, delivered through great user experience.  With its integrated BPO services, Avaloq is the only independent provider for the financial industry to both develop and operate its own software."
Workhorse Group,https://www.crunchbase.com/organization/workhorse-group,"Automotive, Battery, Delivery, Electric Vehicle, Machinery Manufacturing, Manufacturing","Workhorse Group is a manufacturing company that offers vehicle and aerial logistics solutions, transforming the way people receive packages.",101-250,144629500,USD,144629500,2020-06-30,"Loveland, Ohio, United States","Workhorse Group designs and produces battery-electric power trains for its new Workhorse chassis. Workhorse’s approach to building its battery electric power trains uses proven, automotive-grade, mass-produced parts coupled with its custom designed, proprietary control software. Workhorse Group is an original equipment manufacturer of class 3-6 Workhorse brand medium-duty truck chassis. Its assembly plant enables it to build the tried and true W62 chassis and the new, narrower-track W88 chassis at price points and performance specifications sure to be attractive to fleet purchasers. The company's product, The HorseFly™ UAV Delivery system, is a custom built, high efficiency octocopter-based delivery UAV that is fully integrated with electric delivery trucks. It follows the FAA guidelines for UAV operation. The system is designed such that a driver or driver’s assistant can maintain line-of-sight operation of the UAV delivery process. Workhorse Group was founded on 2007 and is headquartered in Loveland, Ohio."
Berkshire Hathaway,https://www.crunchbase.com/organization/berkshire-hathaway-corp,"Air Transportation, Automotive, Consumer, Credit, Food Processing, Insurance, Property Insurance, Railroad, Real Estate","Berkshire Hathaway is a multinational conglomerate holding company headed by its President & CEO, Warren Buffett.",10001+,3510000,USD,3510000,2019-08-15,"Omaha, Nebraska, United States","Berkshire Hathaway is a multinational conglomerate holding company headed by its President & CEO, [Warren Buffet](http://www.crunchbase.com/person/warren-buffett). The company owns, manages and oversees subsidiary companies. Some companies they own wholly include GEICO, Fruit of the Loom, and Helzberg Diamonds. Berkshire Hathaway also holds a significant minority in American Express, The Coca-Cola Company, Wells Fargo, and IBM. The company is considered to be the ninth largest public company in the world, according to Forbes Global 2000 list."
Spotify,https://www.crunchbase.com/organization/spotify,"Cloud Computing, Music, Music Streaming, Video Streaming",Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists.,1001-5000,2585424678,USD,2585424678,2018-01-08,"Stockholm, Stockholms Lan, Sweden","Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists. Users can browse through the interface by artist, album, genre, playlist, record label, and direct searches. It also enables individuals to create, share, and edit playlists with other users. If users want recommendations, they can integrate their system with Last.fm, an application that provides music recommendations based on listening history. The radio feature installed in Spotify creates random playlists for its users that are related to preferred artists. Spotify is available for mobile device platforms such as Android, Blackberry, Boxee, iOS, Linux, MeeGo, Squeezebox, Windows mobile, and more."
Mambu,https://www.crunchbase.com/organization/mambu,"Banking, Cloud Computing, Financial Services, Lending, SaaS, Software",Mambu is an SaaS banking engine powering innovative lending and deposits.,101-250,42000000,EUR,47960254,2019-02-18,"Berlin, Berlin, Germany","Mambu is anSaaS banking engine powering innovative lending and deposits.  It is the lean alternative to cumbersome core banking systems, a cloud-native solution driving open API-enabled architectures. Mambu helps clients to successfully start up new business ventures, transform existing operations, launch new products and expand into new markets.  The company provides financial institutions of all sizes with the agility to rapidly design, launch, service and scale their banking and lending portfolio.  Launched in 2011, the technology powers over 6000 loan and deposit products which serve over eight million end customers.  With more than three million active accounts in over 46 countries, ranging from fintechs to traditional banks, Mambu is helping financial institutions evolve and thrive in the digital age."
Better.com,https://www.crunchbase.com/organization/bettermortgage,"Banking, Consumer Lending, Finance, Financial Services, FinTech, Lending, Marketplace, Real Estate",Better.com is a comprehensive homeownership journey platform that utilizes technology to change the way people buy and own a home.,1001-5000,254000000,USD,254000000,2019-01-31,"New York, New York, United States","Founded in 2016, Better.com democratized the home-financing ecosystem, replacing it with a digitized process that eliminates commissions, fees, unnecessary steps, and time-wasting branch appointments. In addition to providing mortgage rates in seconds, Better.com’s platform offers a digital marketplace featuring competitive quotes from an array of insurance providers for seamless purchase of a homeowner's insurance policy and instant access to leading real estate agents across the country. To date, Better.com has done $7.9B in home loans and $1B in insurance."
CICC,https://www.crunchbase.com/organization/cicc,"Banking, Finance, Financial Services, Venture Capital","CICC, a joint venture investment bank, provides investment banking, capital market, individual sales, and trading services to its clients.",1001-5000,367000000,USD,367000000,2017-09-20,"Beijing, Beijing, China","Established in 1995 as the first joint venture investment bank in China, China International Capital Corporation Limited (CICC) is a leader in providing comprehensive financial services including investment banking, capital markets, institutional and individual securities sales and trading, fixed income, asset management, private equity, individual wealth management and research."
FitXR,https://www.crunchbase.com/organization/fitar,"Fitness, Gaming, Health Care",FitXR is a VR fitness company that provides VR fitness games.,1-10,8750000,USD,8750000,2020-07-10,"London, England, United Kingdom","FitXR is the leading developer of virtual reality (VR) fitness apps, passionately dedicated to making fitness more accessible. FitXR creates fitness experiences that are instantly enjoyable, social by design, and effective. The developer’s first product, BoxVR, has been a consistent best-seller across the Oculus, Steam and PSVR stores and has won multiple awards. FitXR is now building the world’s first virtual fitness studio, that brings the energy and enjoyment of group fitness to the comfort of the home, providing users with total body workouts designed by top fitness experts."
Dish Network,https://www.crunchbase.com/organization/dish-network,"Audio, Consumer Electronics, Telecommunications","Dish Network is a satellite service provider that offers satellite television, audio programming, and interactive television services.",10001+,1000000000,USD,1000000000,2017-03-13,"Englewood, Colorado, United States","Dish Network is a satellite service provider that offers satellite television, audio programming, and interactive television services. The company operates through two segments, DISH and Wireless, and provides video services under the DISH brand. Its programming packages include regional and specialty sports channels, premium movie channels, and Latino and international programming through national broadcast networks, local broadcast networks, and national and regional cable networks; and receiver systems.  Additionally, Dish Network provides satellite broadband services, and wireline voice and broadband services under the dishNET brand; and linear streaming OTT services, which include news and children’s programs as well as a video on-demand programming library. The company also offers dishanywhere.com and mobile applications for smartphones and tablets to view authorized content, search program listings, and remotely control features of their digital video recorders. Its Dishanywhere.com and mobile applications provides access to approximately 80,000 movies, television shows, clips, and trailers. Further, it has wireless spectrum licenses and related assets, and offers receiver systems and programming through direct sales channels, small satellite retailers, direct marketing groups, local and regional consumer electronics stores, nationwide retailers, and telecommunications companies. Dish Network was founded by Charlie Ergen in 1980 and is based in Englewood, Colorado."
Blend,https://www.crunchbase.com/organization/blend-labs,"Consumer Lending, Enterprise Software, Financial Services, FinTech, Lending, SaaS, Software",Blend is a SaaS platform for lenders to speed up and simplify applications for mortgages and consumer loans.,251-500,290000000,USD,290000000,2019-11-15,"San Francisco, California, United States","Blend is a Silicon Valley technology company transforming the consumer lending ecosystem. Blend's technology delivers speed and efficiency to lenders, so they can serve the modern borrower and safely navigate the industry's changing rules and regulations. Founded in 2012, Blend is backed by Greylock Partners, Emergence Capital, 8VC, Founders Fund, Andreessen Horowitz, Lightspeed Venture Partners, Nyca, Max Levchin, and other leading venture investors. To learn more, visit: blend.com"
Vor Biopharma,https://www.crunchbase.com/organization/vor-biopharma,"Biotechnology, Health Care, Pharmaceutical",Vor Biopharma is an immuno-oncology company developing novel therapies with broad potential for treating cancer.,11-50,152000000,USD,152000000,2020-07-07,"Boston, Massachusetts, United States","Vor Biopharma is an immuno-oncology company developing novel therapies with broad potential for treating cancer. Vor is focused on developing technologies that can enable selective targeting of cancer cells without impacting normal cells. Cell surface-targeted immunotherapies, such as bispecific antibodies, antibody-drug conjugates, and chimeric antigen receptor (CAR) T cells, generally target both cancer and normal cells, causing substantial toxicities and limiting their potential. Vor is taking a fundamentally novel approach to targeting cancer selectively by developing hematopoietic stem cells (HSCs) that have been engineered to be protected from specific targeted immunotherapies. These HSCs are designed to generate healthy, functional cells that are also protected from depletion by cancer-targeted therapies."
Riot Games,https://www.crunchbase.com/organization/riot-games,"Computer, Developer Platform, PC Games, Video Games",Riot Games is a global company that develops online games.,1001-5000,21000000,USD,21000000,2018-12-31,"Los Angeles, California, United States","Riot Games is a global company that develops online games. The company was founded by a couple of entrepreneurial gamers who believe player-focused game development can result in better quality games. In 2009, Riot Games released its debut title, League of Legends, a game played by over 67 million users every month.  Riot Games was placed third on the Great Place to Work’s 2013 Best Medium Workplaces list and ranked fourth place in the ""25 Best Companies to Work for in Technology"" list, an accolade based on Glassdoor reviews of Riot by Rioters.  Riot Games was founded by Marc Merrill and Brandon Beck in March 2007 and is headquartered in Culver City, California."
Velodyne LiDAR,https://www.crunchbase.com/organization/velodyne-lidar,"3D Technology, Electronics, Machinery Manufacturing, Manufacturing, Robotics, Sensor",Velodyne LiDAR is a technology company that manufactures sensor products and real-time LiDAR sensors.,251-500,225200000,USD,225200000,2019-10-23,"San Jose, California, United States","Velodyne LiDAR is a technology company that manufactures sensor products and real-time LiDAR sensors. It offers light detection and ranging scanners.  The company evolved after founder and inventor David Hall developed the HDL-64 Solid-State Hybrid LiDAR sensor in 2005. Since then, Velodyne LiDAR has emerged as the leading developer, manufacturer, and supplier of 3D real-time perception systems used in a variety of commercial applications including autonomous vehicles, vehicle safety systems, 3D mobile mapping, 3D aerial mapping, and security.  David Hall founded Velodyne LiDAR in 2007. Its headquarters is in Morgan Hill in California."
Owkin,https://www.crunchbase.com/organization/owkin-2,"Artificial Intelligence, Biotechnology, Clinical Trials, Machine Learning, Software",Owkin is a startup that provides machine learning that allows medical researchers to test AI models on distributed data.,51-100,74100000,USD,74100000,2020-07-01,"New York, New York, United States","Owkin is a startup that provides machine learning that allows medical researchers to test AI models on distributed data. The company deploys AI and federated learning for medical research and aims to empower researchers in hospitals, universities, and pharmaceutical companies to understand why drug efficacy varies from patient to patient, enhance the drug development process, and identify the best drug for the right patient to improve treatment outcomes. It is backed by investors such as F-Prime Capital & Eight Roads Ventures, GV, Otium Ventures, Cathay Innovation, and NJF Capital as well as a scientific board. It was co-founded in 2016 by Thomas Clozel, a hematologist oncologist and researcher, and Gilles Wainrib, a computer science teacher-researcher in New York, New York."
BYTON,https://www.crunchbase.com/organization/byton,"Automotive, Autonomous Vehicles, Electric Vehicle",BYTON operates as an electric vehicle company that designs cars as a fully connected smart device on wheels.,1001-5000,1200000000,USD,1200000000,2019-12-26,"Nanjing, Jiangsu, China","BYTON turns cars into a next-generation smart device. At BYTON automobiles and digital literacy are equally at home with each other. As a start-up, the company creates an environment for free thinking and action. Moreover, the company aims to become a global pioneer in the coming era of connected mobility by designing its cars as a fully connected smart device on wheels."
Trax,https://www.crunchbase.com/organization/traxretail,"Analytics, Computer Vision, Image Recognition, Information Services, Information Technology, Real Time, Retail Technology",Trax provides computer vision solutions for retail.,251-500,386900000,USD,386900000,2019-07-23,"Singapore, Central Region, Singapore","Trax digitizes the physical world of retail.  In 2010 Trax introduced a revolutionary new image recognition technology to the consumer goods industry. Our purpose was twofold – to raise awareness of the significance and value of image recognition and to drive greater efficiencies and effectiveness for consumer goods companies. For the first time, sales representatives could receive detailed product and category information including out-of-shelf, share of shelf, planogram, pricing and promotional compliance and more, all delivered to their mobile phones within minutes in the store. Today, Trax is the global leader in computer vision solutions for CPGs and Retailers, ranking in the top 25 Fastest Growing Companies on Deloitte's Technology Fast 500 list. The Trax platform enables tighter execution controls in-store and the ability to leverage competitive insights through their in-store execution tools, market measurement services and data science to unlock revenue opportunities at all points of sale. In addition to mobile phones and tablets, Trax partners with leading innovators of IOT technologies including fixed cameras, robotics, and more, to capture retail reality in store.  Trax is headquartered in Singapore, with offices throughout APAC, Europe, Middle East, North America and South America. Trax clients include global brands like Coca-Cola, ABInBev, Heineken, Nestle and Henkel."
Matterport,https://www.crunchbase.com/organization/matterport,"3D Technology, Cloud Computing, Computer Vision, Digital Media, Hardware, Photography, Virtual Reality",Matterport specializes in developing and operating cloud based platforms.,101-250,114000000,USD,114000000,2019-06-12,"Sunnyvale, California, United States","Matterport develops and operates a cloud-based platform that enables users to create cloud-based 3D and virtual reality models of real-world spaces that can be experienced, changed, and shared online. Its 3D model allows people to walk through, modify, and share digital environments on devices, such as laptops and iPads.  Matterport also provides Matterport Pro 3D camera to capture visual and spatial data and the appearance and dimensions of space, Matterport Cloud, for cloud hosting and processing, Matterport Spaces for playing web player, and Matterport 3D player, a web-based viewer that enables users to see and navigate through their 3D model. It also offers a 3D Showcase that enables users to navigate and visualize homes and other buildings with multiple floors.  It was founded in 2011 and headquartered in Sunnyvale, California."
JFrog,https://www.crunchbase.com/organization/jfrog-ltd,"Developer Tools, Enterprise Software, Software, Web Development",JFrog provides software developers with a binary repository management solution.,101-250,226500000,USD,226500000,2018-10-04,"Sunnyvale, California, United States","Based in California, Israel and France and founded by longtime field-experts, JFrog is the creator of Artifactory and Bintray; the company that provided the market with the first Binary Repository solution and software distribution social platform.  Through its flagship product Artifactory, JFrog has changed the way developers and DevOps team store and manage binary code, allowing for complete control over the full software release flow. JFrog continues to set the software industry standard with Bintray, today's leading software distribution platform which offers a developer centric, social platform for storage and distribution of software libraries. JFrog's end-to-end solution—from Development to Distribution—is a vital part of a faster, more efficient application development and release processes that leads today's Continuous Integration and Deployment space. JFrog’s audience is both software developers and DevOps teams. The company positioned itself between these two groups and managing one of their common challenges in software artifacts, JFrog is at the hub of the Devops domain where development and IT operations meet. JFrog aspires to set the world’s Software Distribution standards!"
Blackberry,https://www.crunchbase.com/organization/blackberry,"Embedded Systems, Hardware, Mobile, Telecommunications, Wireless",BlackBerry provides wireless devices and solutions for the worldwide mobile communications market.,10001+,1000000000,USD,1000000000,2013-11-04,"Waterloo, Ontario, Canada","BlackBerry provides wireless devices and solutions for the worldwide mobile communications market. It is widely known for the development of the Blackberry smartphone.   It offers the BlackBerry wireless communications platform solution, which includes the commpression and security infrastructure services enabling BlackBerry hand-held wireless devices to send and receive wireless messages and data. It is engaged in the sale of BlackBerry hand-held devices and the provision of data communication.   Its portfolio of products and solutions includes the BlackBerry wireless solution, the BlackBerry Wireless Hand-held product line, the BlackBerry PlayBook tablet, software development tools, and other software and hardware. It also provides QNX software for embedded systems market and BBM, which is known as an instant mobile to mobile private messaging service. BlackBerry also carries expertise in allowing third party commercial and enterprise software developers to build and deploy custom applications to run on BlackBerry smartphones. In addition, it provides its users with the BlackBerry Messenger Social Apps Platform, push, payments, advertising, location, maps, analytics, and Scoreloop services as well as repair and maintenance services.   BlackBerry is engaged in the sales of its solutions through wireless communication carriers and third party distribution channels."
VillageMD,https://www.crunchbase.com/organization/villagemd,"Health Care, Hospital, Medical",VillageMD is a provider of data-driven services for primary care physicians.,251-500,491000000,USD,491000000,2020-07-08,"Chicago, Illinois, United States","VillageMD collaborates with primary care physicians to maximize success in a changing health care environment. VillageMD's goal is to be the largest, highest performing primary care-led network in the U.S. VillageMD is a provider of healthcare for organizations moving toward a primary care-led, high-value clinical model. The VillageMD solution provides the tools, technology, operations, and staffing support needed for physicians to drive the highest quality clinical results across a population. VillageMD works with physician groups, independent practice associations, and health systems to improve quality, deliver a first-rate patient experience, and lower costs in the communities they serve."
Carvana,https://www.crunchbase.com/organization/carvana,"Automotive, E-Commerce, Internet",Carvana is a leading e-commerce platform for buying and selling used cars.,1001-5000,1560120000,USD,1560120000,2020-04-02,"Tempe, Arizona, United States","Founded in 2012 and based in Phoenix, Carvana’s mission is to change the way people buy cars. By removing the traditional dealership infrastructure and replacing it with technology and exceptional customer service, Carvana offers consumers an intuitive and convenient online car buying and financing platform. Carvana.com enables consumers to quickly and easily shop more than 15,000 vehicles, finance, trade in or sell their current vehicle to Carvana, sign contracts, and schedule as-soon-as-next-day delivery or pickup at one of Carvana’s patented, automated Car Vending Machines."
HackerOne,https://www.crunchbase.com/organization/hackerone,"Computer, Internet, Network Security",HackerOne is a powered security platform that connects businesses with penetration testers and cybersecurity researchers.,1001-5000,110400000,USD,110400000,2019-09-08,"San Francisco, California, United States","HackerOne is a powered security platform that connects businesses with penetration testers and cybersecurity researchers. The platform also develops bug bounty solutions to help organizations reduce the risk of a security incident by working with the world's largest community of ethical. It also provides a solution for security vulnerability disclosure.  HackerOne offers a solution that helps organizations in creating vulnerability disclosure and response programs. The company mediates between hackers and companies interested in testing their online vulnerabilities. They partner with the global hacker community to surface the most relevant security issues of their customers before they can be exploited by criminals. HackerOne was founded in 2012 and is headquartered in San Francisco with offices in London, New York City, Singapore, and the Netherlands."
Qualtrics,https://www.crunchbase.com/organization/qualtrics,"Consumer, Market Research, SaaS, Software","Qualtrics is a single system of record for all experience data, managing customer, product, employee, and brand experiences on one platform.",1001-5000,400000000,USD,400000000,2017-04-12,"Provo, Utah, United States","Qualtrics is a single system of record for all experience data, also called X-data™, allowing organizations to manage the four core experiences of business—customer, product, employee and brand experiences—on one platform. Over 8,500 enterprises worldwide, including more than 75 percent of the Fortune 100 and 99 of the top 100 U.S. business schools, rely on Qualtrics."
Liveoak Technologies,https://www.crunchbase.com/organization/liveoak-technologies,"Banking, Collaboration, Digital Signage, Identity Management, Insurance, Real Time, Retirement, Wealth Management",Liveoak is a computer software company that specializes in cloud-based platform.,11-50,13455000,USD,13455000,2019-06-04,"Austin, Texas, United States","Liveoak is a computer software company that specializes in cloud-based platform. It features a cloud-based software application platform that utilizes video conferencing, screen-sharing and data/ID capture with forms collaboration and e-signature capabilities that let your teams deliver white-glove service to your customers. The company was founded in 2014 and headquartered in Austin, Texas."
Qualio,https://www.crunchbase.com/organization/qualio,"Biotechnology, Life Science, Medical Device, Pharmaceutical, SaaS, Software",Qualio is a SaaS quality management platform that provides scalable quality management services for life sciences companies.,11-50,16242232,USD,16242232,2020-07-16,"San Francisco, California, United States","Qualio is a SaaS quality management platform that helps life sciences companies become quality-driven and accelerate growth. It unites their quality team, tools, and data - helping teams building life-saving products get to market quickly and scale successfully. It was founded in 2012 and is headquartered in San Francisco, California."
KeepTruckin,https://www.crunchbase.com/organization/keeptruckin,"Fleet Management, Logistics, SaaS, Transportation",KeepTruckin is a San Francisco-based startup helping trucking companies manage their fleets and have their drivers legally log their hours.,1001-5000,227300000,USD,227300000,2019-09-10,"San Francisco, California, United States","KeepTruckin is a San Francisco-based startup trying to make it easier for trucking companies to manage their fleets and have their drivers legally log their hours. KeepTruckin is on a mission to improve the efficiency and profitability of America's trucking industry by building great technology products for truck drivers and fleet managers. The KeepTruckin ELD is the easiest to use and most affordable electronic logging system on the market. KeepTruckin provides drivers with the number one rated Electronic Logbook App for iOS & Android. For fleets, KeepTruckin's web dashboard automates log auditing, IFTA reporting, vehicle location tracking, and more. KeepTruckin is trusted by over 400,000 drivers and 13,000 fleets. The company is backed by Google Ventures and Index Ventures."
Sociolla,https://www.crunchbase.com/organization/sociolla,"Beauty, Cosmetics, E-Commerce, Lifestyle",Sociolla is an Indonesian online services provider for the beauty and personal care industry.,101-250,110000000,USD,110000000,2020-07-06,"Jakarta, Jakarta Raya, Indonesia","Sociolla was established with the aim of providing comfort for women in Indonesia to shop for makeup/cosmetics, skincare, haircare, beauty equipment, and perfume. Sociolla only works with authorized distributors and brand holders to ensure product authenticity. We understand that quality is the main aspect; especially for beauty products that we apply to the skin."
CureVac,https://www.crunchbase.com/organization/curevac,"Biopharma, Biotechnology, Therapeutics",CureVac is a clinical stage biopharmaceutical company that provides prophylactic and therapeutic application of messenger RNA.,251-500,1097818092,USD,1097818092,2020-07-21,"Tübingen, Baden-Wurttemberg, Germany","CureVac develops drugs that are based on Messenger RNA (mRNA) as a data carrier to instruct the human body to produce its own proteins capable of fighting a wide range of diseases. mRNA programs include novel mRNA-based cancer immunotherapies and prophylactic vaccines against infectious diseases (RNActive®), molecular therapies designed to trigger the body’s own production of therapeutic proteins (RNArt®), and RNA encoded antibodies (RNAntibody®). Its most advanced product candidate, CV9104, is being developed in Phase IIb for the treatment of prostate cancer."
Vault,https://www.crunchbase.com/organization/vaultbenefit,"Financial Services, Lending, Personal Finance",Attract top talent with a workplace benefit that helps your employees crush their student loan debt.,11-50,12478473,USD,12478473,2020-01-14,"Austin, Texas, United States","Vault provides the most comprehensive software platform in the market to address the financial burden of student loan debt. Our intuitive web-based tool provides a highly secure employee experience that empowers employees to achieve financial freedom. With the option to make contributions to employees’ debt repayment, Vault enables companies to attract and retain their valuable talent. Vault empowers companies with relevant, flexible products that provide advice, create pathways to manage student debt more effectively, and enable paying-down student loans while building 401(k) savings."
Cybereason,https://www.crunchbase.com/organization/cybereason,"Computer, Cyber Security, Enterprise Software, Intrusion Detection, Network Security, Real Time",Cybereason is an endpoint detection and response platform that identifies cyber attacks for effective response.,101-250,388600000,USD,388600000,2019-08-05,"Boston, Massachusetts, United States","Cybereason is the leader in endpoint protection, offering endpoint detection and response, next-generation antivirus, and managed monitoring services. Founded by elite intelligence professionals born and bred in offense-first hunting, Cybereason gives enterprises the upper hand over cyber adversaries. The Cybereason platform is powered by a custom-built in-memory graph, the only truly automated hunting engine anywhere. It detects behavioral patterns across every endpoint and surfaces malicious operations in an exceptionally user-friendly interface. Cybereason is privately held and headquartered in Boston with offices in London, Tel Aviv, and Tokyo."
Company,https://www.crunchbase.com/organization/company,"Art, Internet, Social Network",COMPANY is an online and offline social network connecting collectors of contemporary art.,11-50,1600000,USD,1600000,2011-08-03,"Sag Harbor, New York, United States","COMPANY (www.welcometocompany.com ) is an online and offline social network connecting collectors of contemporary art while providing compelling content, an on-line art exchange and original art works from emerging artists for sale commissioned by COMPANY. With the debut of its off-line networking salon - The Collector Series - and its cable TV show - CollectorNYC - COMPANY offers advertisers a multi-platform advertising opportunity to a highly sought-after targeted demographic."
Localeur,https://www.crunchbase.com/organization/localeur,"Content, Local, Location Based Services, Mobile, Travel","Localeur is a global community of locals who help travelers experience local by sharing their favorite local places to eat, drink, and play.",11-50,19275911,USD,19275911,2020-06-03,"Austin, Texas, United States","Localeur is a community of locals spanning 60+ major cities who share recommendations on their favorite places to eat, drink, and play to help travelers experience locally in their cities. Unlike review sites like Yelp, Localeur has an exclusive community of local insiders who share authentic recommendations on places in the cities they live in, not the ones they visit. Localeur gives a much more authentic, credible array of recommendations than anything find on cluttered, anonymous review sites. The company worked with brands like JetBlue Airways, Lyft, Nike, and Match.com to create campaigns that use their vision to help their ideas come to life. It was founded in 2013 and headquartered in Austin, Texas."
